nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
802002507,2020-12-31,,4684340.0,,Pequeña,,No,2020,SIREM - Supersociedades,COL
802002648,2016-12-31,,4168950.0,,Pequeña,,No,2016,SIREM - Supersociedades,COL
802002678,2019-12-31,52107.0,,,,,No,2019,SIREM - Supersociedades,COL
802002698,2016-12-31,,,595671.0,,,No,2016,SIREM - Supersociedades,COL
802003214,2016-12-31,,10750838.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802003400,2016-12-31,296172166.0,,,,,No,2016,SIREM - Supersociedades,COL
802003400,2018-12-31,295415776.0,,,,,No,2018,SIREM - Supersociedades,COL
802003400,2020-12-31,164218278.0,,,,,No,2020,SIREM - Supersociedades,COL
802003408,2019-12-31,,,11744194.0,,,No,2019,SIREM - Supersociedades,COL
802003931,2018-12-31,9966328.0,,,,,No,2018,SIREM - Supersociedades,COL
802004262,2019-12-31,,2296807.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
802004262,2021-12-31,,,667561.0,,,No,2021,SIREM - Supersociedades,COL
802004619,2018-12-31,,2199865.0,,Pequeña,,No,2018,SIREM - Supersociedades,COL
802004619,2019-12-31,,2713730.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
802004619,2021-12-31,799889.0,,,,,No,2021,SIREM - Supersociedades,COL
802004795,2016-12-31,,,2410701.0,,,No,2016,SIREM - Supersociedades,COL
802004942,2016-12-31,5230637.0,,,,,No,2016,SIREM - Supersociedades,COL
802005075,2016-12-31,32130980.0,,,,,No,2016,SIREM - Supersociedades,COL
802005112,2021-12-31,4717790.0,,,,,No,2021,SIREM - Supersociedades,COL
802005147,2018-12-31,13242920.0,,,,,No,2018,SIREM - Supersociedades,COL
802005147,2021-12-31,10679606.0,,,,,No,2021,SIREM - Supersociedades,COL
802005165,2016-12-31,,,255388.0,,,No,2016,SIREM - Supersociedades,COL
802005302,2021-12-31,,5532525.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
802005314,2016-12-31,,436005.0,197116.0,Micro,0.45209573284710036,No,2016,SIREM - Supersociedades,COL
802005367,2019-12-31,6902859.0,,3615632.0,,,No,2019,SIREM - Supersociedades,COL
802005367,2020-12-31,,,1964026.0,,,No,2020,SIREM - Supersociedades,COL
802005436,2016-12-31,12517383.0,,,,,No,2016,SIREM - Supersociedades,COL
802005438,2020-12-31,1691461.0,,,,,No,2020,SIREM - Supersociedades,COL
802005604,2019-12-31,1907987.0,,,,,No,2019,SIREM - Supersociedades,COL
